area,habilidade,competencia,descricao_competencia,descricao_habilidade
CH,1,1,Compreender os elementos culturais que constituem as identidades,Interpretar historicamente e/ou geograficamente fontes documentais acerca de aspectos da cultura.
CH,2,1,Compreender os elementos culturais que constituem as identidades,Analisar a produção da memória pelas sociedades humanas.
CH,3,1,Compreender os elementos culturais que constituem as identidades,Associar as manifestações culturais do presente aos seus processos históricos.
CH,4,1,Compreender os elementos culturais que constituem as identidades,Comparar pontos de vista expressos em diferentes fontes sobre determinado aspecto da cultura.
CH,5,1,Compreender os elementos culturais que constituem as identidades,Identificar as manifestações ou representações da diversidade do patrimônio cultural e artístico em diferentes sociedades.
CH,6,2,Compreender as transformações dos espaços geográficos como produto das relações socioeconômicas e culturais de poder.,Interpretar diferentes representações gráficas e cartográficas dos espaços geográficos.
CH,7,2,Compreender as transformações dos espaços geográficos como produto das relações socioeconômicas e culturais de poder.,Identificar os significados histórico-geográficos das relações de poder entre as nações
CH,8,2,Compreender as transformações dos espaços geográficos como produto das relações socioeconômicas e culturais de poder.,Analisar a ação dos estados nacionais no que se refere à dinâmica dos fluxos populacionais e no enfrentamento de problemas de ordem econômico-social.
CH,9,2,Compreender as transformações dos espaços geográficos como produto das relações socioeconômicas e culturais de poder.,"Comparar o significado histórico-geográfico das organizações políticas e socioeconômicas em escala local, regional ou mundial."
CH,10,2,Compreender as transformações dos espaços geográficos como produto das relações socioeconômicas e culturais de poder.,Reconhecer a dinâmica da organização dos movimentos sociais e a importância da participação da coletividade na transformação da realidade histórico-geográfica.
CH,11,3,"Compreender a produção e o papel histórico das instituições sociais, políticas e econômicas, associando-as aos diferentes grupos, conflitos e movimentos sociais.",Identificar registros de práticas de grupos sociais no tempo e no espaço.
CH,12,3,"Compreender a produção e o papel histórico das instituições sociais, políticas e econômicas, associando-as aos diferentes grupos, conflitos e movimentos sociais.",Analisar o papel da justiça como instituição na organização das sociedades.
CH,13,3,"Compreender a produção e o papel histórico das instituições sociais, políticas e econômicas, associando-as aos diferentes grupos, conflitos e movimentos sociais.",Analisar a atuação dos movimentos sociais que contribuíram para mudanças ou rupturas em processos de disputa pelo poder.
CH,14,3,"Compreender a produção e o papel histórico das instituições sociais, políticas e econômicas, associando-as aos diferentes grupos, conflitos e movimentos sociais.","Comparar diferentes pontos de vista, presentes em textos analíticos e interpretativos, sobre situação ou fatos de natureza histórico-geográfica acerca das instituições sociais, políticas e econômicas."
CH,15,3,"Compreender a produção e o papel histórico das instituições sociais, políticas e econômicas, associando-as aos diferentes grupos, conflitos e movimentos sociais.","Avaliar criticamente conflitos culturais, sociais, políticos, econômicos ou ambientais ao longo da história."
CH,16,4,"Entender as transformações técnicas e tecnológicas e seu impacto nos processos de produção, no desenvolvimento do conhecimento e na vida social.",Identificar registros sobre o papel das técnicas e tecnologias na organização do trabalho e/ou da vida social.
CH,17,4,"Entender as transformações técnicas e tecnológicas e seu impacto nos processos de produção, no desenvolvimento do conhecimento e na vida social.",Analisar fatores que explicam o impacto das novas tecnologias no processo de territorialização da produção.
CH,18,4,"Entender as transformações técnicas e tecnológicas e seu impacto nos processos de produção, no desenvolvimento do conhecimento e na vida social.",Analisar diferentes processos de produção ou circulação de riquezas e suas implicações sócio-espaciais.
CH,19,4,"Entender as transformações técnicas e tecnológicas e seu impacto nos processos de produção, no desenvolvimento do conhecimento e na vida social.",Reconhecer as transformações técnicas e tecnológicas que determinam as várias formas de uso e apropriação dos espaços rural e urbano.
CH,20,4,"Entender as transformações técnicas e tecnológicas e seu impacto nos processos de produção, no desenvolvimento do conhecimento e na vida social.",Selecionar argumentos favoráveis ou contrários às modificações impostas pelas novas tecnologias à vida social e ao mundo do trabalho.
CH,21,5,"Utilizar os conhecimentos históricos para compreender e valorizar os fundamentos da cidadania e da democracia, favorecendo uma atuação consciente do indivíduo na sociedade.",Identificar o papel dos meios de comunicação na construção da vida social.
CH,22,5,"Utilizar os conhecimentos históricos para compreender e valorizar os fundamentos da cidadania e da democracia, favorecendo uma atuação consciente do indivíduo na sociedade.",Analisar as lutas sociais e conquistas obtidas no que se refere às mudanças nas legislações ou nas políticas públicas.
CH,23,5,"Utilizar os conhecimentos históricos para compreender e valorizar os fundamentos da cidadania e da democracia, favorecendo uma atuação consciente do indivíduo na sociedade.",Analisar a importância dos valores éticos na estruturação política das sociedades.
CH,24,5,"Utilizar os conhecimentos históricos para compreender e valorizar os fundamentos da cidadania e da democracia, favorecendo uma atuação consciente do indivíduo na sociedade.",Relacionar cidadania e democracia na organização das sociedades.
CH,25,5,"Utilizar os conhecimentos históricos para compreender e valorizar os fundamentos da cidadania e da democracia, favorecendo uma atuação consciente do indivíduo na sociedade.",Identificar estratégias que promovam formas de inclusão social.
CH,26,6,"Compreender a sociedade e a natureza, reconhecendo suas interações no espaço em diferentes contextos históricos e geográficos.",Identificar em fontes diversas o processo de ocupação dos meios físicos e as relações da vida humana com a paisagem.
CH,27,6,"Compreender a sociedade e a natureza, reconhecendo suas interações no espaço em diferentes contextos históricos e geográficos.","Analisar de maneira crítica as interações da sociedade com o meio físico, levando em consideração aspectos históricos e(ou) geográficos."
CH,28,6,"Compreender a sociedade e a natureza, reconhecendo suas interações no espaço em diferentes contextos históricos e geográficos.",Relacionar o uso das tecnologias com os impactos sócio-ambientais em diferentes contextos histórico-geográficos.
CH,29,6,"Compreender a sociedade e a natureza, reconhecendo suas interações no espaço em diferentes contextos históricos e geográficos.","Reconhecer a função dos recursos naturais na produção do espaço geográfico, relacionando-os com as mudanças provocadas pelas ações humanas."
CH,30,6,"Compreender a sociedade e a natureza, reconhecendo suas interações no espaço em diferentes contextos históricos e geográficos.",Avaliar as relações entre preservação e degradação da vida no planeta nas diferentes escalas.
CN,1,1,"Compreender as ciências naturais e as tecnologias a elas associadas como construções humanas, percebendo seus papéis nos processos de produção e no desenvolvimento econômico e social da humanidade.","Reconhecer características ou propriedades de fenômenos ondulatórios ou oscilatórios, relacionando-os a seus usos em diferentes contextos."
CN,2,1,"Compreender as ciências naturais e as tecnologias a elas associadas como construções humanas, percebendo seus papéis nos processos de produção e no desenvolvimento econômico e social da humanidade.","Associar a solução de problemas de comunicação, transporte, saúde ou outro, com o correspondente desenvolvimento científico e tecnológico."
CN,3,1,"Compreender as ciências naturais e as tecnologias a elas associadas como construções humanas, percebendo seus papéis nos processos de produção e no desenvolvimento econômico e social da humanidade.","Confrontar interpretações científicas com interpretações baseadas no senso comum, ao longo do tempo ou em diferentes culturas."
CN,4,1,"Compreender as ciências naturais e as tecnologias a elas associadas como construções humanas, percebendo seus papéis nos processos de produção e no desenvolvimento econômico e social da humanidade.","Avaliar propostas de intervenção no ambiente, considerando a qualidade da vida humana ou medidas de conservação, recuperação ou utilização sustentável da biodiversidade."
CN,5,2,Identificar a presença e aplicar as tecnologias associadas às ciências naturais em diferentes contextos.,Dimensionar circuitos ou dispositivos elétricos de uso cotidiano.
